t # 1
v 425 8
v 426 9
v 427 10
v 428 70
v 429 149
v 430 13
v 431 14
v 432 60
v 433 86
v 434 17
v 435 150
v 436 19
v 437 76
v 438 149
v 439 151
v 440 43
v 441 8
v 442 23
v 443 24
v 444 25
v 445 144
v 446 48
v 447 28
v 448 152
v 449 152
v 450 30
v 451 29
v 452 153
v 453 154
v 454 79
v 455 0
v 456 1
v 457 2
v 458 81
v 459 108
v 460 118
v 461 5
v 462 38
v 463 7
v 464 56
v 465 8
v 466 9
v 467 10
v 468 11
v 469 149
v 470 13
v 471 14
v 472 155
v 473 16
v 474 17
v 475 156
v 476 19
v 477 20
v 478 149
v 479 151
v 480 22
v 481 8
v 482 23
v 483 24
v 484 25
v 485 47
v 486 48
v 487 28
v 488 65
v 489 157
v 490 31
v 491 104
v 492 79
v 493 0
v 494 1
v 495 107
v 496 5
v 497 5
v 498 69
v 499 7
v 500 8
v 501 9
v 502 10
v 503 57
v 504 158
v 505 59
v 506 13
v 507 14
v 508 72
v 509 86
v 510 159
v 511 19
v 512 20
v 513 158
v 514 160
v 515 126
v 516 8
v 517 127
v 518 24
v 519 25
v 520 48
v 521 28
v 522 65
v 523 161
v 524 162
v 525 163
v 526 79
v 527 0
v 528 1
v 529 35
v 530 164
v 531 4
v 532 118
v 533 5
v 534 38
v 535 7
v 536 51
v 537 9
v 538 10
v 539 11
v 540 165
v 541 13
v 542 59
v 543 14
v 544 72
v 545 16
v 546 17
v 547 166
v 548 19
v 549 76
v 550 165
v 551 160
v 552 22
v 553 8
v 554 63
v 555 44
v 556 25
v 557 129
v 558 47
v 559 48
v 560 130
v 561 28
v 562 65
v 563 167
v 564 168
v 565 169
v 566 170
v 567 0
v 568 1
v 569 35
v 570 5
v 571 5
v 572 38
v 573 7
v 574 8
v 575 9
v 576 10
v 577 70
v 578 171
v 579 13
v 580 14
v 581 72
v 582 16
v 583 17
v 584 172
v 585 19
v 586 76
v 587 171
v 588 173
v 589 43
v 590 8
v 591 63
v 592 24
v 593 25
v 594 64
v 595 48
v 596 28
v 597 30
v 598 174
v 599 29
v 600 175
v 601 170
v 602 0
v 603 1
v 604 107
v 605 108
v 606 5
v 607 5
v 608 7
v 609 8
v 610 9
v 611 10
v 612 70
v 613 176
v 614 13
v 615 14
v 616 72
v 617 16
v 618 177
v 619 19
v 620 76
v 621 176
v 622 89
v 623 22
v 624 8
v 625 63
v 626 24
v 627 5
v 628 25
v 629 144
v 630 48
v 631 28
v 632 105
v 633 105
v 634 65
v 635 178
v 636 179
v 637 180
v 638 170
v 639 0
v 640 1
v 641 107
v 642 108
v 643 5
v 644 5
v 645 7
v 646 8
v 647 9
v 648 119
v 649 57
v 650 181
v 651 13
v 652 14
v 653 72
v 654 73
v 655 17
v 656 182
v 657 19
v 658 76
v 659 181
v 660 183
v 661 22
v 662 8
v 663 63
v 664 44
v 665 25
v 666 64
v 667 48
v 668 28
v 669 184
v 670 184
v 671 30
v 672 185
v 673 51
v 674 186
v 675 170
v 676 0
v 677 1
v 678 35
v 679 5
v 680 5
v 681 6
v 682 37
v 683 7
v 684 8
v 685 9
v 686 10
v 687 70
v 688 187
v 689 13
v 690 59
v 691 14
v 692 72
v 693 86
v 694 17
v 695 188
v 696 19
v 697 76
v 698 187
v 699 189
v 700 43
v 701 8
v 702 63
v 703 24
v 704 25
v 705 47
v 706 48
v 707 28
v 708 65
v 709 190
v 710 191
v 711 192
v 712 193
v 713 0
v 714 1
v 715 35
v 716 108
v 717 194
v 718 194
v 719 195
v 720 55
v 721 7
v 722 8
v 723 9
v 724 57
v 725 196
v 726 13
v 727 14
v 728 138
v 729 16
v 730 17
v 731 197
v 732 19
v 733 20
v 734 196
v 735 198
v 736 43
v 737 8
v 738 24
v 739 161
v 740 25
v 741 26
v 742 48
v 743 28
v 744 65
v 745 199
v 746 200
v 747 193
v 748 0
v 749 1
v 750 53
v 751 35
v 752 5
v 753 5
v 754 38
v 755 7
v 756 8
v 757 9
v 758 70
v 759 115
v 760 13
v 761 14
v 762 72
v 763 16
v 764 201
v 765 19
v 766 76
v 767 115
v 768 117
v 769 22
v 770 51
v 771 23
v 772 44
v 773 5
v 774 25
v 775 144
v 776 48
v 777 28
v 778 30
v 779 194
v 780 67
v 781 202
v 782 203
v 783 193
v 784 0
v 785 1
v 786 107
v 787 5
v 788 5
v 789 7
v 790 8
v 791 9
v 792 10
v 793 70
v 794 204
v 795 13
v 796 14
v 797 72
v 798 73
v 799 205
v 800 19
v 801 20
v 802 204
v 803 125
v 804 43
v 805 8
v 806 63
v 807 24
v 808 25
v 809 144
v 810 48
v 811 28
v 812 152
v 813 152
v 814 65
v 815 206
v 816 161
v 817 207
v 818 193
v 819 0
v 820 1
v 821 107
v 822 108
v 823 5
v 824 5
v 825 38
v 826 7
v 827 8
v 828 208
v 829 10
v 830 70
v 831 209
v 832 13
v 833 14
v 834 72
v 835 73
v 836 17
v 837 210
v 838 19
v 839 20
v 840 211
v 841 212
v 842 213
v 843 8
v 844 214
v 845 24
v 846 215
v 847 25
v 848 47
v 849 48
v 850 28
v 851 216
v 852 217
v 853 218
v 854 219
v 855 193
v 856 0
v 857 1
v 858 35
v 859 220
v 860 5
v 861 5
v 862 7
v 863 8
v 864 9
v 865 10
v 866 70
v 867 221
v 868 13
v 869 14
v 870 72
v 871 73
v 872 17
v 873 222
v 874 19
v 875 20
v 876 221
v 877 223
v 878 22
v 879 8
v 880 23
v 881 24
v 882 25
v 883 64
v 884 48
v 885 27
v 886 28
v 887 29
v 888 161
v 889 65
v 890 45
v 891 224
v 892 194
v 893 225
v 894 226
v 895 193
v 896 0
v 897 1
v 898 35
v 899 5
v 900 5
v 901 227
v 902 7
v 903 8
v 904 9
v 905 10
v 906 70
v 907 228
v 908 13
v 909 59
v 910 14
v 911 72
v 912 73
v 913 17
v 914 229
v 915 19
v 916 76
v 917 228
v 918 21
v 919 126
v 920 8
v 921 63
v 922 113
v 923 25
v 924 64
v 925 48
v 926 28
v 927 49
v 928 49
v 929 30
v 930 66
v 931 184
v 932 230
v 933 193
v 934 0
v 935 1
v 936 107
v 937 5
v 938 5
v 939 7
v 940 8
v 941 9
v 942 10
v 943 70
v 944 231
v 945 13
v 946 14
v 947 72
v 948 16
v 949 232
v 950 19
v 951 76
v 952 231
v 953 97
v 954 43
v 955 8
v 956 63
v 957 44
v 958 5
v 959 25
v 960 144
v 961 48
v 962 28
v 963 30
v 964 66
v 965 49
v 966 233
v 967 193
v 968 0
v 969 1
v 970 107
v 971 80
v 972 5
v 973 5
v 974 7
v 975 56
v 976 51
v 977 9
v 978 10
v 979 234
v 980 235
v 981 13
v 982 14
v 983 72
v 984 73
v 985 236
v 986 19
v 987 76
v 988 235
v 989 160
v 990 22
v 991 51
v 992 23
v 993 24
v 994 25
v 995 64
v 996 48
v 997 28
v 998 30
v 999 237
v 1000 238
v 1001 239
v 1002 240
v 1003 241
v 1004 242
v 1005 243
v 1006 0
v 1007 1
v 1008 35
v 1009 134
v 1010 161
v 1011 5
v 1012 38
v 1013 227
v 1014 55
v 1015 7
v 1016 56
v 1017 8
v 1018 9
v 1019 10
v 1020 11
v 1021 244
v 1022 13
v 1023 14
v 1024 245
v 1025 16
v 1026 246
v 1027 19
v 1028 20
v 1029 244
v 1030 247
v 1031 248
v 1032 8
v 1033 249
v 1034 24
v 1035 237
v 1036 25
v 1037 129
v 1038 48
v 1039 130
v 1040 28
v 1041 250
v 1042 251
v 1043 29
v 1044 252
v 1045 243
v 1046 0
v 1047 1
v 1048 80
v 1049 3
v 1050 5
v 1051 5
v 1052 148
v 1053 6
v 1054 7
v 1055 8
v 1056 9
v 1057 57
v 1058 253
v 1059 13
v 1060 14
v 1061 72
v 1062 16
v 1063 254
v 1064 19
v 1065 20
v 1066 253
v 1067 173
v 1068 22
v 1069 8
v 1070 23
v 1071 24
v 1072 25
v 1073 144
v 1074 255
v 1075 28
v 1076 65
v 1077 256
v 1078 135
v 1079 243
v 1080 0
v 1081 1
v 1082 35
v 1083 5
v 1084 5
v 1085 7
v 1086 8
v 1087 9
v 1088 57
v 1089 257
v 1090 13
v 1091 14
v 1092 72
v 1093 16
v 1094 17
v 1095 258
v 1096 19
v 1097 76
v 1098 257
v 1099 173
v 1100 22
v 1101 51
v 1102 63
v 1103 24
v 1104 25
v 1105 26
v 1106 48
v 1107 28
v 1108 30
v 1109 51
v 1110 259
v 1111 243
v 1112 0
v 1113 1
v 1114 35
v 1115 2
v 1116 108
v 1117 5
v 1118 5
v 1119 38
v 1120 7
v 1121 8
v 1122 9
v 1123 11
v 1124 260
v 1125 261
v 1126 13
v 1127 59
v 1128 14
v 1129 72
v 1130 16
v 1131 17
v 1132 262
v 1133 19
v 1134 76
v 1135 260
v 1136 89
v 1137 43
v 1138 51
v 1139 63
v 1140 24
v 1141 25
v 1142 47
v 1143 144
v 1144 48
v 1145 248
v 1146 28
v 1147 30
v 1148 49
v 1149 263
v 1150 243
v 1151 0
v 1152 1
v 1153 107
v 1154 54
v 1155 5
v 1156 5
v 1157 195
v 1158 7
v 1159 8
v 1160 9
v 1161 10
v 1162 57
v 1163 264
v 1164 13
v 1165 59
v 1166 14
v 1167 265
v 1168 16
v 1169 17
v 1170 266
v 1171 19
v 1172 20
v 1173 264
v 1174 267
v 1175 43
v 1176 29
v 1177 5
v 1178 8
v 1179 63
v 1180 44
v 1181 25
v 1182 268
v 1183 48
v 1184 28
v 1185 216
v 1186 65
v 1187 269
v 1188 270
v 1189 271
v 1190 243
v 1191 0
v 1192 1
v 1193 220
v 1194 81
v 1195 5
v 1196 5
v 1197 6
v 1198 38
v 1199 7
v 1200 8
v 1201 9
v 1202 57
v 1203 272
v 1204 13
v 1205 59
v 1206 14
v 1207 72
v 1208 16
v 1209 17
v 1210 273
v 1211 19
v 1212 20
v 1213 272
v 1214 274
v 1215 22
v 1216 8
v 1217 23
v 1218 24
v 1219 25
v 1220 47
v 1221 64
v 1222 28
v 1223 30
v 1224 243
v 1225 0
v 1226 1
v 1227 35
v 1228 54
v 1229 275
v 1230 276
v 1231 276
v 1232 277
v 1233 7
v 1234 8
v 1235 9
v 1236 10
v 1237 278
v 1238 279
v 1239 280
v 1240 14
v 1241 281
v 1242 282
v 1243 16
v 1244 17
v 1245 283
v 1246 19
v 1247 20
v 1248 76
v 1249 284
v 1250 117
v 1251 184
v 1252 67
v 1253 8
v 1254 23
v 1255 44
v 1256 25
v 1257 268
v 1258 285
v 1259 48
v 1260 28
v 1261 286
v 1262 286
v 1263 65
v 1264 30
v 1265 287
v 1266 31
v 1267 288
v 1268 243
v 1269 0
v 1270 1
v 1271 35
v 1272 134
v 1273 5
v 1274 5
v 1275 289
v 1276 7
v 1277 51
v 1278 9
v 1279 10
v 1280 70
v 1281 290
v 1282 13
v 1283 14
v 1284 72
v 1285 16
v 1286 17
v 1287 291
v 1288 88
v 1289 76
v 1290 290
v 1291 89
v 1292 22
v 1293 8
v 1294 63
v 1295 113
v 1296 25
v 1297 26
v 1298 48
v 1299 28
v 1300 184
v 1301 292
v 1302 30
v 1303 162
v 1304 293
v 1305 294
v 1306 243
v 1307 0
v 1308 1
v 1309 107
v 1310 108
v 1311 295
v 1312 5
v 1313 93
v 1314 7
v 1315 56
v 1316 8
v 1317 9
v 1318 10
v 1319 296
v 1320 297
v 1321 298
v 1322 299
v 1323 300
v 1324 13
v 1325 301
v 1326 72
v 1327 16
v 1328 302
v 1329 303
v 1330 19
v 1331 76
v 1332 299
v 1333 304
v 1334 126
v 1335 8
v 1336 63
v 1337 44
v 1338 292
v 1339 25
v 1340 144
v 1341 48
v 1342 28
v 1343 8
v 1344 8
v 1345 30
v 1346 31
v 1347 29
v 1348 294
v 1349 243
v 1350 0
v 1351 1
v 1352 305
v 1353 35
v 1354 54
v 1355 5
v 1356 5
v 1357 306
v 1358 7
v 1359 8
v 1360 9
v 1361 10
v 1362 57
v 1363 307
v 1364 59
v 1365 13
v 1366 60
v 1367 308
v 1368 86
v 1369 17
v 1370 309
v 1371 19
v 1372 20
v 1373 76
v 1374 307
v 1375 310
v 1376 126
v 1377 5
v 1378 5
v 1379 8
v 1380 51
v 1381 23
v 1382 44
v 1383 25
v 1384 47
v 1385 48
v 1386 28
v 1387 30
v 1388 311
v 1389 184
v 1390 312
v 1391 243
v 1392 0
v 1393 1
v 1394 2
v 1395 81
v 1396 5
v 1397 5
v 1398 38
v 1399 7
v 1400 56
v 1401 8
v 1402 9
v 1403 10
v 1404 70
v 1405 313
v 1406 13
v 1407 14
v 1408 72
v 1409 16
v 1410 123
v 1411 314
v 1412 19
v 1413 76
v 1414 313
v 1415 77
v 1416 22
v 1417 8
v 1418 23
v 1419 24
v 1420 25
v 1421 64
v 1422 48
v 1423 28
v 1424 30
v 1425 29
v 1426 194
v 1427 241
v 1428 243
v 1429 0
v 1430 1
v 1431 35
v 1432 5
v 1433 5
v 1434 6
v 1435 7
v 1436 8
v 1437 9
v 1438 10
v 1439 70
v 1440 315
v 1441 13
v 1442 14
v 1443 316
v 1444 16
v 1445 17
v 1446 317
v 1447 19
v 1448 20
v 1449 315
v 1450 318
v 1451 22
v 1452 8
v 1453 23
v 1454 24
v 1455 25
v 1456 319
v 1457 48
v 1458 28
v 1459 225
v 1460 225
v 1461 65
v 1462 225
v 1463 320
v 1464 321
v 1465 322
v 1466 0
v 1467 1
v 1468 107
v 1469 54
v 1470 5
v 1471 5
v 1472 7
v 1473 8
v 1474 9
v 1475 10
v 1476 57
v 1477 323
v 1478 13
v 1479 59
v 1480 14
v 1481 72
v 1482 16
v 1483 324
v 1484 325
v 1485 19
v 1486 76
v 1487 323
v 1488 173
v 1489 126
v 1490 8
v 1491 63
v 1492 113
v 1493 25
v 1494 47
v 1495 64
v 1496 26
v 1497 48
v 1498 28
v 1499 49
v 1500 49
v 1501 30
v 1502 326
v 1503 327
v 1504 328
v 1505 322
v 1506 0
v 1507 1
v 1508 35
v 1509 329
v 1510 330
v 1511 104
v 1512 38
v 1513 93
v 1514 6
v 1515 7
v 1516 56
v 1517 8
v 1518 9
v 1519 119
v 1520 11
v 1521 331
v 1522 332
v 1523 301
v 1524 282
v 1525 86
v 1526 333
v 1527 19
v 1528 76
v 1529 334
v 1530 335
v 1531 126
v 1532 8
v 1533 63
v 1534 24
v 1535 161
v 1536 25
v 1537 129
v 1538 336
v 1539 48
v 1540 130
v 1541 28
v 1542 30
v 1543 337
v 1544 286
v 1545 118
v 1546 322
v 1547 0
v 1548 1
v 1549 35
v 1550 5
v 1551 5
v 1552 289
v 1553 338
v 1554 7
v 1555 8
v 1556 9
v 1557 10
v 1558 57
v 1559 339
v 1560 13
v 1561 14
v 1562 15
v 1563 73
v 1564 17
v 1565 340
v 1566 88
v 1567 76
v 1568 339
v 1569 173
v 1570 126
v 1571 8
v 1572 63
v 1573 113
v 1574 25
v 1575 144
v 1576 48
v 1577 28
v 1578 184
v 1579 184
v 1580 30
v 1581 341
v 1582 67
v 1583 342
v 1584 322
v 1585 0
v 1586 1
v 1587 80
v 1588 35
v 1589 5
v 1590 5
v 1591 289
v 1592 7
v 1593 56
v 1594 51
v 1595 9
v 1596 10
v 1597 57
v 1598 343
v 1599 13
v 1600 14
v 1601 101
v 1602 16
v 1603 344
v 1604 19
v 1605 76
v 1606 343
v 1607 103
v 1608 22
v 1609 8
v 1610 63
v 1611 24
v 1612 25
v 1613 144
v 1614 48
v 1615 28
v 1616 30
v 1617 345
v 1618 49
v 1619 346
v 1620 347
v 1621 322
v 1622 0
v 1623 1
v 1624 107
v 1625 348
v 1626 349
v 1627 66
v 1628 5
v 1629 69
v 1630 289
v 1631 7
v 1632 56
v 1633 8
v 1634 9
v 1635 234
v 1636 261
v 1637 13
v 1638 14
v 1639 15
v 1640 16
v 1641 123
v 1642 350
v 1643 19
v 1644 76
v 1645 261
v 1646 89
v 1647 43
v 1648 8
v 1649 63
v 1650 44
v 1651 25
v 1652 48
v 1653 28
v 1654 30
v 1655 153
v 1656 351
v 1657 322
v 1658 0
v 1659 1
v 1660 107
v 1661 5
v 1662 5
v 1663 38
v 1664 7
v 1665 8
v 1666 9
v 1667 57
v 1668 352
v 1669 13
v 1670 14
v 1671 72
v 1672 16
v 1673 17
v 1674 353
v 1675 19
v 1676 76
v 1677 352
v 1678 335
v 1679 8
v 1680 63
v 1681 24
v 1682 25
v 1683 64
v 1684 48
v 1685 28
v 1686 30
v 1687 354
v 1688 355
v 1689 322
v 1690 0
v 1691 1
v 1692 107
v 1693 5
v 1694 5
v 1695 6
v 1696 7
v 1697 8
v 1698 9
v 1699 10
v 1700 70
v 1701 356
v 1702 13
v 1703 14
v 1704 60
v 1705 73
v 1706 357
v 1707 19
v 1708 76
v 1709 356
v 1710 358
v 1711 213
v 1712 8
v 1713 249
v 1714 113
v 1715 25
v 1716 144
v 1717 48
v 1718 28
v 1719 30
v 1720 143
v 1721 31
v 1722 359
v 1723 322
v 1724 0
v 1725 1
v 1726 107
v 1727 5
v 1728 5
v 1729 148
v 1730 6
v 1731 7
v 1732 56
v 1733 8
v 1734 9
v 1735 10
v 1736 57
v 1737 360
v 1738 13
v 1739 14
v 1740 72
v 1741 73
v 1742 361
v 1743 20
v 1744 360
v 1745 358
v 1746 43
v 1747 8
v 1748 63
v 1749 113
v 1750 184
v 1751 25
v 1752 47
v 1753 144
v 1754 48
v 1755 28
v 1756 30
v 1757 162
v 1758 29
v 1759 194
v 1760 322
v 1761 0
v 1762 1
v 1763 107
v 1764 5
v 1765 5
v 1766 6
v 1767 7
v 1768 362
v 1769 8
v 1770 9
v 1771 10
v 1772 57
v 1773 363
v 1774 59
v 1775 13
v 1776 14
v 1777 72
v 1778 73
v 1779 364
v 1780 19
v 1781 76
v 1782 363
v 1783 335
v 1784 22
v 1785 8
v 1786 23
v 1787 24
v 1788 25
v 1789 365
v 1790 48
v 1791 28
v 1792 65
v 1793 366
v 1794 167
v 1795 114
v 1796 367
v 1797 0
v 1798 1
v 1799 35
v 1800 5
v 1801 5
v 1802 195
v 1803 6
v 1804 7
v 1805 8
v 1806 9
v 1807 10
v 1808 57
v 1809 368
v 1810 13
v 1811 14
v 1812 72
v 1813 16
v 1814 17
v 1815 369
v 1816 19
v 1817 20
v 1818 368
v 1819 335
v 1820 248
v 1821 8
v 1822 249
v 1823 25
v 1824 26
v 1825 48
v 1826 370
v 1827 67
v 1828 67
v 1829 65
v 1830 371
v 1831 372
v 1832 373
v 1833 367
v 1834 0
v 1835 1
v 1836 35
v 1837 5
v 1838 5
v 1839 7
v 1840 8
v 1841 9
v 1842 10
v 1843 57
v 1844 374
v 1845 13
v 1846 14
v 1847 72
v 1848 16
v 1849 17
v 1850 375
v 1851 19
v 1852 76
v 1853 374
v 1854 376
v 1855 43
v 1856 8
v 1857 63
v 1858 24
v 1859 25
v 1860 64
v 1861 48
v 1862 28
v 1863 184
v 1864 184
v 1865 30
v 1866 66
v 1867 286
v 1868 377
v 1869 367
v 1870 0
v 1871 1
v 1872 107
v 1873 5
v 1874 5
v 1875 195
v 1876 55
v 1877 7
v 1878 56
v 1879 8
v 1880 9
v 1881 57
v 1882 378
v 1883 13
v 1884 14
v 1885 60
v 1886 308
v 1887 16
v 1888 379
v 1889 380
v 1890 20
v 1891 378
v 1892 77
v 1893 381
v 1894 8
v 1895 249
v 1896 44
v 1897 25
v 1898 64
v 1899 26
v 1900 48
v 1901 28
v 1902 30
v 1903 65
v 1904 199
v 1905 382
v 1906 367
v 1907 0
v 1908 1
v 1909 35
v 1910 108
v 1911 373
v 1912 5
v 1913 38
v 1914 7
v 1915 8
v 1916 9
v 1917 10
v 1918 296
v 1919 383
v 1920 13
v 1921 14
v 1922 384
v 1923 16
v 1924 17
v 1925 385
v 1926 19
v 1927 20
v 1928 383
v 1929 21
v 1930 43
v 1931 8
v 1932 63
v 1933 113
v 1934 8
v 1935 25
v 1936 47
v 1937 48
v 1938 28
v 1939 65
v 1940 386
v 1941 387
v 1942 233
v 1943 367
v 1944 0
v 1945 1
v 1946 35
v 1947 5
v 1948 5
v 1949 38
v 1950 7
v 1951 8
v 1952 9
v 1953 10
v 1954 11
v 1955 388
v 1956 13
v 1957 316
v 1958 16
v 1959 17
v 1960 389
v 1961 75
v 1962 76
v 1963 388
v 1964 189
v 1965 22
v 1966 51
v 1967 23
v 1968 113
v 1969 25
v 1970 319
v 1971 48
v 1972 28
v 1973 30
v 1974 32
v 1975 390
v 1976 68
v 1977 367
v 1978 0
v 1979 1
v 1980 35
v 1981 164
v 1982 54
v 1983 5
v 1984 5
v 1985 6
v 1986 233
v 1987 7
v 1988 51
v 1989 9
v 1990 10
v 1991 57
v 1992 391
v 1993 59
v 1994 13
v 1995 14
v 1996 60
v 1997 16
v 1998 17
v 1999 392
v 2000 19
v 2001 20
v 2002 391
v 2003 393
v 2004 22
v 2005 8
v 2006 63
v 2007 44
v 2008 25
v 2009 47
v 2010 48
v 2011 28
v 2012 167
v 2013 167
v 2014 65
v 2015 105
v 2016 394
v 2017 395
v 2018 396
v 2019 0
v 2020 1
v 2021 107
v 2022 397
v 2023 398
v 2024 5
v 2025 195
v 2026 7
v 2027 8
v 2028 399
v 2029 10
v 2030 70
v 2031 14
v 2032 72
v 2033 73
v 2034 400
v 2035 19
v 2036 401
v 2037 402
v 2038 335
v 2039 43
v 2040 5
v 2041 63
v 2042 44
v 2043 167
v 2044 403
v 2045 25
v 2046 47
v 2047 48
v 2048 28
v 2049 292
v 2050 292
v 2051 404
v 2052 327
v 2053 327
v 2054 405
v 2055 367
v 2056 0
v 2057 1
v 2058 107
v 2059 54
v 2060 5
v 2061 5
v 2062 38
v 2063 118
v 2064 7
v 2065 56
v 2066 8
v 2067 9
v 2068 10
v 2069 70
v 2070 406
v 2071 13
v 2072 59
v 2073 14
v 2074 407
v 2075 16
v 2076 408
v 2077 19
v 2078 76
v 2079 406
v 2080 89
v 2081 43
v 2082 8
v 2083 63
v 2084 113
v 2085 25
v 2086 47
v 2087 144
v 2088 48
v 2089 28
v 2090 49
v 2091 49
v 2092 30
v 2093 8
v 2094 398
v 2095 409
v 2096 367
v 2097 0
v 2098 1
v 2099 107
v 2100 108
v 2101 5
v 2102 5
v 2103 38
v 2104 7
v 2105 56
v 2106 8
v 2107 9
v 2108 10
v 2109 11
v 2110 410
v 2111 13
v 2112 14
v 2113 40
v 2114 16
v 2115 411
v 2116 75
v 2117 20
v 2118 412
v 2119 413
v 2120 43
v 2121 8
v 2122 63
v 2123 113
v 2124 414
v 2125 256
v 2126 25
v 2127 48
v 2128 28
v 2129 30
v 2130 174
v 2131 415
v 2132 416
v 2133 396
v 2134 0
v 2135 1
v 2136 2
v 2137 107
v 2138 5
v 2139 5
v 2140 93
